Q,A,label
프리미엄 이미지 메이킹 세션이란 무엇인가요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. ,4
프리미엄 이미지 제작 세션이란 무엇인가요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. ,4
프리미엄 이미지 제작 세션?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. ,4
프리미엄 이미지 메이킹 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. ,4
프리미엄 이미지 제작 과정에는 무엇이 포함되어 있나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. ,4
퍼스널 컬러(1:1) 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
퍼스널 컬러(1:1) 코스가 뭐야?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
퍼스널 컬러(1:1) 세션이 뭐야?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
퍼스널 컬러(1:1) 세션은 무엇인가요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
퍼스널 컬러(2:1) 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
퍼스널 컬러(2:1) 코스가 뭐야?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
퍼스널 컬러(2:1) 세션이 뭐야?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
퍼스널 컬러(2:1) 세션은 무엇인가요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 웜/쿨 온도감 진단  6) 2차 세부톤/계절 진단  7) 패턴 체크  8) 헤어 컬러 진단  9) 개인 파우치 진단  10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 컬러감 상의 착용 테스트  13) 베스트 제품 발색 테스트  14) 액세서리 컬러 및 디자인 추천  15) 최종 진단 및 피드백  16) 퍼스널 컬러북 제공 17) 사후 보고서 발송이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
프리미엄 이미지 메이킹(1:1) 세션이란 무엇인가요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
프리미엄 이미지 제작(1:1) 세션이란 무엇인가요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
프리미엄 이미지 제작(1:1) 세션?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
프리미엄 이미지 메이킹(1:1) 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
프리미엄 이미지 제작(1:1) 과정에는 무엇이 포함되어 있나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 메이크업 제품 추천  12) 베스트 제품 발색 테스트  13) 액세서리 컬러 및 디자인 추천  14) 최종 진단 및 피드백  15) 사후 보고서 발송  16) 골격 진단  17) 넥 라인 진단  18) 상하의/아우터/악세사리 디자인 추천 및 코칭  19) 얼굴 타입에 알맞는 헤어 스타일링 코칭  20) TPO에 알맞는 분위기 종합 체크  21) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
메이크업+퍼스널 컬러 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다.,4
메이크업+퍼스널 컬러 과정에는 어떤 것이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다.,4
메이크업+퍼스널 컬러 과정이란 무엇인가요? ,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다.,4
메이크업+퍼스널 컬러 과정이란?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다.,4
메이크업+퍼스널 컬러(1:1) 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
메이크업+퍼스널 컬러(1:1) 과정에는 어떤 것이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
메이크업+퍼스널 컬러(1:1) 과정이란 무엇인가요? ,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
메이크업+퍼스널 컬러(1:1) 과정이란?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 1:1로 진행됩니다. ,4
메이크업+퍼스널 컬러(2:1) 과정에는 무엇이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
메이크업+퍼스널 컬러(2:1) 과정에는 어떤 것이 포함되나요?,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
메이크업+퍼스널 컬러(2:1) 과정이란 무엇인가요? ,1) 셀프 진단서 작성  2)이론 안내  3) 피부톤 진단  4) 명도/채도 진단  5) 1차 온도감 체크 -> 2차 세부톤 진단  6) 패턴 체크 7) 헤어 컬러 진단  8) 개인 파우치 진단  9) 베스트 컬러감 상의 착용 테스트 10) 베스트/워스트 타입 특징 확인  11) 액세서리 컬러 및 디자인 추천  12) 최종 진단 및 피드백  13) 사후 보고서 발송  14) 퍼스널 컬러 결과에 맞는 메이크업 컨셉 셋팅  15) 기초/색조 제품 특징 체크  16) 반쪽 컨설턴트 시연/셀프 반쪽 메이크업 진행 17) 베스트 메이크업 완료 후 포토부스 셀피 체크  18) 퍼스널 컬러북 제공 이 포함됩니다. 이 과정들이 2:1로 진행됩니다. ,4
